Oslo;Alufelger;FULD56022009857;4;8875;Fuel;Vapor 10" 139,7/135;6;139;22;Matte Black (1133 Kg);ET10;106,1;0
Oslo;Sommerdekk;CO0311383;4;3301;Continental;SportContact 7;245;35;19;EU:D-A-72dB(B);93;Y;20
Kristiansand;M+S;CO0345546;4;4135;Continental;VikingContact 8;265;60;18;EU:A-D-70dB(A);114;T;20
Oslo;Sommerdekk;GRI8859291449072;1;3244;Gripmax;SureGrip Pro Sport;285;30;20;EU:C-A-75dB(B);99;Y;20
Tønsberg;Sommerdekk;MNMV562;2;1433;Minerva;Transport RF19;215;65;15;EU:C-C-71dB(B);104;T;20
Oslo;Alufelger;PHEANS40-0B10T;20;2425;PH Edition II;Avia 8,5";5;114;19;Gloss Black (762 Kg);ET40;64.11;0
Jæren;Sommerdekk;CO0357485;20;2166;Continental;PremiumContact 6;205;50;17;EU:C-A-72dB(B);93;Y;20
Oslo;Sommerdekk;SV3220017513;20;1666;Sailun;Atrezzo ZSR2;225;35;20;EU:B-A-69dB(A);90;Y;20
Bergen;Alufelger;SED17I245-0S14;1;793;Sento;Ki ES707 Kappa 4,5";4;100;14;Light Silver (635 kg);ET45;67,1;0
Oslo;Alufelger;PHEANS40-0G10T;20;2195;PH Edition II;Avia 8.5";5;114;19;Gun Metal (820 Kg);ET40;64,11;0
Oslo;Alufelger;MAKF6560JKSI54WS5X;20;2789;MAK;Jackie 6.5";5;112;16;Silver (518 Kg);ET54;66,6;0
Oslo;M+S;VR8714692263484;4;1311;Vredestein;Nordtrac 2;185;65;15;EU:C-D-69dB(B);92;T;20
Bergen;Alufelger;PHETA832-0G13M;8;1845;PH Edition II;Turbin 8";5;112;18;Gun Metal (875 Kg);ET32;66,6;0
Trondheim;MC dekk;PI3842000;1;718;Pirelli;Scorpion MX32 Mid Soft;60;100;14;Front TT Off Road;29;M;16
Trondheim;Sommerdekk;BF941156;4;4632;BF Goodrich;Mud Terrain T/A Km3;265;65;17;(Professional Off-Road);120;Q;20
Trondheim;MC dekk;MI920596;1;2534;Michelin;Anakee Adventure;110;80;18;Front TL/TT;58;V;16
Trondheim;MC dekk;MI999843;1;3454;Michelin;Anakee Wild;170;60;17;Rear TL/TT;72;R;16
Oslo;Alufelger;PHEMI85828-0BP13B2;8;2450;PH Edition II;Miles 8,5";5;112;20;Black Polished (900 Kg);ET28;66,6;0
Trondheim;MC dekk;MI034151;1;2309;Michelin;Anakee Adventure;100;90;19;Front TL/TT;57;V;16
Trondheim;MC dekk;MI509890;4;3968;Michelin;Road 6 GT;190;55;17;Rear TL;75;W;16
Bergen;Sommerdekk;NOT432609;4;1785;Nokian;Hakka Black 3;225;40;18;EU:D-A-70dB(B);92;Y;20
Kristiansand;Alufelger;ALCMN65738V74-5;16;2370;Alutec;Monstr 6.5";5;100;17;Racing Black (610 Kg);ET38;57,1;0
Trondheim;MC dekk;MI834270;5;3312;Michelin;Road 6;160;60;17;Rear TL;69;W;16
Trondheim;MC dekk;MI441445;1;3482;Michelin;Road 5;190;55;17;Rear TL;75;W;16
Oslo;M+S;MNMW099988;20;1599;Minerva;Frostrack Van;205;65;16;EU:D-B-72dB(B);107;R;20
Trondheim;MC dekk;MI385961;8;1912;Michelin;Enduro 2 Medium;140;80;18;Rear TT (Motorsport only - NHS);70;R;16
Trondheim;MC dekk;MI532413;1;1416;Michelin;Enduro 2 Medium;90;90;21;Front TT (Motorsport only - NHS);54;R;16
Trondheim;Sommerdekk;MNMV840;20;944;Minerva;209;185;55;15;EU:D-C-70dB(B);82;H;20
Jæren;Traktordekk;TB12205600;3;27915;Trelleborg;TM800;600;65;38;TL;153;D;625
Trondheim;MC dekk;MI733790;1;1632;Michelin;Starcross 6 Medium;110;90;19;TT Medium Soft (Motorsport only - NHS);62;M;16
Tønsberg;Sommerdekk;PI1767300;4;4544;Pirelli;PZero MO;235;45;20;EU:D-B-72dB(B);100;W;20
Tønsberg;Sommerdekk;PI2034700;4;5301;Pirelli;P-Zero AO;265;35;20;EU:D-A-73dB(B);99;Y;20
Tønsberg;Sommerdekk;PI2728400;4;4688;Pirelli;P-Zero (PZ4);285;45;20;EU:B-B-69dB(A);108;W;20
Tønsberg;Sommerdekk;PI3275500;20;3188;Pirelli;Cinturato P7 (P7C2) Seal Inside™;235;45;18;EU:B-A-70dB(B);94;W;20
Oslo;M+S;SV3220012064;1;1588;Sailun;Ice Blazer Alpine Evo 1;215;55;17;EU:D-B-72dB(B);98;V;20
Tønsberg;Sommerdekk;PI3898300;20;4922;Pirelli;Cinturato P7 (P7C2) Seal Inside™ ELECT™;255;40;20;EU:A-A-72dB(B);101;T;20
Tønsberg;Sommerdekk;PI3926600;8;2933;Pirelli;Powergy;235;50;19;EU:B-A-70dB(B);99;V;20
Tønsberg;Sommerdekk;PI3939000;2;5612;Pirelli;P-Zero (PZ4) *;285;40;20;EU:A-A-71dB(A);108;Y;20
Trondheim;Sommerdekk;CO0358921;4;3615;Continental;PremiumContact 6 Silent VOL;235;40;19;EU:C-A-72dB(B);96;W;20
Trondheim;Sommerdekk;CO0312963;4;5034;Continental;SportContact 7;285;40;20;EU:C-A-73dB(B);108;Y;20
Trondheim;Sommerdekk;CO0313080;4;5017;Continental;PremiumContact 7;285;40;21;EU:C-A-73dB(B);109;Y;20
Tønsberg;Sommerdekk;PI1996400;11;3666;Pirelli;PZero AO;255;40;19;EU:C-B-73dB(B);100;Y;20
Narvik;Sommerdekk;SV3220010750;1;1388;Sailun;Atrezzo Elite;205;65;16;EU:C-B-70dB(B);95;V;20
Tønsberg;Sommerdekk;SV3220005538;8;2177;Sailun;Terramax CVR;255;70;18;EU:C-D-72dB(B);113;T;20
Trondheim;Sommerdekk;CO0358625;2;7332;Continental;PremiumContact 6 Silent MO-S;325;40;22;EU:B-A-73dB(B);114;Y;20
Tønsberg;Sommerdekk;SV3220010152;20;1666;Sailun;Atrezzo ZSR;245;45;18;EU:D-B-71dB(B);100;Y;20
Trondheim;Sommerdekk;CO0313806;2;6591;Continental;SportContact 7 NC0;315;35;22;EU:C-A-74dB(B);111;Y;20
Trondheim;Sommerdekk;CO0313178;6;5524;Continental;SportContact 7;285;30;22;EU:C-A-73dB(B);101;Y;20
Trondheim;Sommerdekk;CO0311404;2;5092;Continental;SportContact 7;295;25;20;EU:D-A-73dB(B);95;Y;20
Tønsberg;Sommerdekk;SV3220010724;8;1311;Sailun;Atrezzo Elite;215;55;16;EU:C-B-70dB(B);97;W;20
Bergen;M+S;CO0345518;8;3495;Continental;VikingContact 8;235;65;17;EU:A-D-69dB(A);108;T;20
Trondheim;Sommerdekk;CO0311402;2;5784;Continental;SportContact 7;295;25;21;EU:C-A-73dB(B);96;Y;20
Jæren;M+S;PI4319800;10;4491;Pirelli;Winter Ice Zero Asimmetrico;255;50;20;EU:B-D-69dB(A);109;H;20
Oslo;M+S;NOT430764;16;4006;Nokian;Hakkapeliitta R3 SUV;245;50;19;EU:B-E-72dB(B);105;R;20
Oslo;M+S;AR6938628269759;1;1722;Arivo;Winmaster ARW 2;245;45;18;EU:C-C-71dB(B);100;H;20
Tønsberg;Traktordekk;TB0735600;4;36019;Trelleborg;TM1060;650;60;38;TL;166;D;625
Oslo;M+S;CO0345483;1;3045;Continental;VikingContact 8;215;60;17;EU:B-D-69dB(A);100;T;20
Kristiansand;M+S;SV3220019663;8;2177;Sailun;Ice Blazer Arctic EVO;235;60;19;EU:;107;T;20
Tønsberg;Traktordekk;TB12205600;1;27915;Trelleborg;TM800;600;65;38;TL;153;D;625
Oslo;Sommerdekk;MKMH4061;3;3242;Maxtrek;Mud Track;35;12.5;17;EU:;121;Q;20
Tønsberg;M+S Pigg;PI4269800;20;2363;Pirelli;Winter Ice Zero 2 KS;205;55;16;EU:;94;T;20
Kristiansand;M+S;CO0345072;20;4165;Continental;VikingContact 7;235;40;19;EU:C-D-72dB(B);96;T;20
Tønsberg;Alufelger;MAKF75706SGB55VJ5;8;3385;MAK;Stone6 7.5";6;139;17;Gloss Black (1215 Kg);ET55;93,1;0
Oslo;Sommerdekk;GO581473;20;3403;Goodyear;Eagle F1 Asymmetric 6;245;45;19;EU:C-A-70dB(B);102;Y;20
Tønsberg;MC dekk;MZ3609900;13;1094;Metzeler;ME 22;3.5;80;18;Front/Rear TT Sport Touring;62;P;16
Tønsberg;MC dekk;MI494607;6;1067;Michelin;City Grip 2;140;70;12;Rear TL;65;S;16
Bergen;Alufelger;PHETY838-13B5S;10;1620;PH Edition II;Turbin 7,5" OE VAG;5;112;17;Black (875 Kg);ET38;57,1;0
Jæren;M+S Pigg;GRI6969999000641;20;3111;Gripmax;SureGrip Pro Ice;235;45;19;230 pigger;99;T;20
Oslo;M+S;KU2248783;1;2802;Kumho;WinterCraft Ice WS51 SUV;255;50;19;EU:C-D-72dB(B);107;T;20
Kristiansand;M+S;PI4072200;2;3217;Pirelli;Winter Ice Zero Asimmetrico;225;65;17;EU:B-D-69dB(A);106;H;20
Bergen;M+S;GO533126;3;2570;Goodyear;ULTRAGRIP ICE 2 MS;215;50;17;EU:C-D-71dB(B);95;T;20
Oslo;Alufelger;PHEMIA85856-13GB5S;1;2130;PH Edition II;Miles 8,5";5;112;18;Gloss Black (845 Kg);ET56;57,1;0
Oslo;Sommerdekk;SV3220010753;20;766;Sailun;Atrezzo Eco;155;80;13;EU:D-B-70dB(B);79;T;20
Trondheim;Sommerdekk;PI2737500;8;2511;Pirelli;Scorpion Verde VOL;235;65;17;EU:B-B-70dB(B);108;V;20
Trondheim;Sommerdekk;PI2753500;12;2999;Pirelli;Scorpion Verde VOL;235;55;19;EU:B-B-71dB(B);105;V;20
Trondheim;Sommerdekk;PI3881100;20;1722;Pirelli;Powergy;225;45;17;EU:B-A-68dB(A);94;Y;20
Trondheim;Sommerdekk;PI3881500;16;2255;Pirelli;Powergy;215;50;17;EU:B-A-68dB(A);95;Y;20
Oslo;M+S;SV3220011509;20;2633;Sailun;Ice Blazer Arctic Evo;255;50;19;EU:C-E-72dB(B);107;H;20
Kristiansand;ATV-dekk;WD37526912;16;1988;Wanda;P375;26;9;12;TL Pr.6 (E4);49;J;16
Trondheim;Sommerdekk;PI3881900;4;1788;Pirelli;Powergy;225;40;18;EU:B-A-70dB(B);92;Y;20
